,ID,Title,Developer,Publisher,Platform,Genre,ReleaseDate,Rating,CleanRDate
6119,b6120,Shufflepuck Cantina Deluxe,Agharta Studio,Agharta Studio,PC,Arcade|Sports,06 December 2013,6.2,2013-12-06
6120,b6121,Shutshimi,Neon Deity Games,Choice Provisions,PC|PlayStation 4|PlayStation Vita,Action,25 August 2015,6.4,2015-08-25
6121,b6122,SiN,Ritual Entertainment,Activision,PC,First-Person|Platform|Shooter,31 October 1998,6.8,1998-10-31
6122,b6123,SiN Episodes: Emergence,Ritual Entertainment,Valve Corporation,PC,First-person shooter,10 May 2006,6.6,2006-05-10
6123,b6124,Sickness,Zetsubou,Unwonted Studios,PC,Visual Novel,20 January 2016,8.0,2016-01-20
6124,b6125,Sid Meier's Ace Patrol,Firaxis Games,2K Sports,PC,Strategy,27 August 2013,6.8,2013-08-27
6125,b6126,Sid Meier's Ace Patrol: Pacific Skies,Firaxis,2K Games,PC,Top-Down|Turn-Based|Strategy,05 November 2013,7.3,2013-11-05
6126,b6127,Sid Meier's Alpha Centauri,Firaxis Games,Electronic Arts|Aspyr Media|Loki Software,PC,Turn-Based|Strategy,12 February 1999,8.6,1999-02-12
6127,b6128,Sid Meier's Civilization,MicroProse,MicroProse,Mac|PC,Turn-Based Strategy,1991,8.1,1991-01-01
6128,b6129,Sid Meier's Civilization: Beyond Earth,Firaxis Games,2K Games,Mac|PC,Strategy,24 October 2014,7.0,2014-10-24
6129,b6130,Sid Meier's Civilization II,MicroProse,MicroProse,Mac|PC|PlayStation,Turn-Based Strategy,29 February 1996,8.3,1996-02-29
6130,b6131,Sid Meier's Civilization III,Firaxis Games|Westlake Interactive (Mac OS|original)|Aspyr (Mac OS|Complete),Infogrames (now Atari)|MacSoft (Mac OS)|Aspyr (Mac OS|Complete),Mac|PC,Turn-based strategy,30 October 2001,7.8,2001-10-30
6131,b6132,Sid Meier's Civilization III: Complete,Firaxis Games|Westlake Interactive (Mac OS|original)|Aspyr (Mac OS|Complete),Infogrames|MacSoft (Mac OS)|Aspyr (Mac OS|Complete),PC,Turn-based strategy,30 October 2001,7.7,2001-10-30
6132,b6133,Sid Meier's Civilization IV,Firaxis Games,2K Games &amp; Aspyr,Mac|PC,,25 October 2005,8.4,2005-10-25
6133,b6134,Sid Meier's Civilization IV: Beyond the Sword,Firaxis Games,Take Two Interactive,PC,Turn-based strategy,23 July 2007,8.9,2007-07-23
6134,b6135,Sid Meier's Civilization IV: Colonization,Firaxis Games,2K Games,PC,Turn-based strategy,22 September 2008,7.4,2008-09-22
6135,b6136,Sid Meier's Civilization IV: Warlords,Firaxis Games,Take Two Interactive,PC,,24 July 2006,7.7,2006-07-24
6136,b6137,Sid Meier's Civilization Revolution,Firaxis,2K Games,iOS|Nintendo DS|PlayStation 3|Xbox 360|Xbox One,Turn-based strategy,08 July 2008,7.3,2008-07-08
6137,b6138,Sid Meier's Civilization V,Firaxis Games,2K Games,Mac|PC,Turn-Based|Strategy,21 September 2010,8.6,2010-09-21
6138,b6139,Sid Meier's Civilization VI,Firaxis,2K,Mac|PC,Turn-Based|Strategy,21 October 2016,8.2,2016-10-21
